Device Id,Time,Temperature(℉),Humidity(%RH)
d88b4c02000fb85d,2024/08/30 00:50:48-0700,84.2℉,38.5
d88b4c02000fb85d,2024/08/30 01:50:48-0700,84.0℉,38.3
d88b4c02000fb85d,2024/08/30 02:50:48-0700,84.0℉,38.2
d88b4c02000fb85d,2024/08/30 03:50:48-0700,84.0℉,38.1
d88b4c02000fb85d,2024/08/30 04:50:48-0700,84.0℉,38.0
d88b4c02000fb85d,2024/08/30 05:50:48-0700,83.8℉,38.0
d88b4c02000fb85d,2024/08/30 06:44:30-0700,83.8℉,31.8
d88b4c02000fb85d,2024/08/30 06:45:30-0700,82.9℉,30.0
d88b4c02000fb85d,2024/08/30 06:46:30-0700,81.9℉,26.4
d88b4c02000fb85d,2024/08/30 06:47:30-0700,80.8℉,24.9
d88b4c02000fb85d,2024/08/30 06:48:30-0700,79.7℉,26.1
d88b4c02000fb85d,2024/08/30 06:49:30-0700,78.6℉,28.0
d88b4c02000fb85d,2024/08/30 06:50:30-0700,77.5℉,30.2
d88b4c02000fb85d,2024/08/30 06:51:40-0700,76.6℉,33.0
d88b4c02000fb85d,2024/08/30 06:52:50-0700,75.7℉,32.3
d88b4c02000fb85d,2024/08/30 06:54:00-0700,74.8℉,27.3
d88b4c02000fb85d,2024/08/30 06:55:00-0700,73.8℉,24.7
d88b4c02000fb85d,2024/08/30 06:56:00-0700,72.5℉,22.9
d88b4c02000fb85d,2024/08/30 06:57:00-0700,71.4℉,21.6
d88b4c02000fb85d,2024/08/30 06:58:00-0700,70.0℉,21.6
d88b4c02000fb85d,2024/08/30 06:59:00-0700,68.9℉,22.8
d88b4c02000fb85d,2024/08/30 07:00:00-0700,68.0℉,24.4
d88b4c02000fb85d,2024/08/30 07:01:00-0700,67.1℉,26.4
d88b4c02000fb85d,2024/08/30 07:02:10-0700,66.2℉,29.0
d88b4c02000fb85d,2024/08/30 07:03:30-0700,65.3℉,27.4
d88b4c02000fb85d,2024/08/30 07:04:40-0700,64.4℉,24.8
d88b4c02000fb85d,2024/08/30 07:05:50-0700,63.5℉,23.1
d88b4c02000fb85d,2024/08/30 07:06:50-0700,62.6℉,21.9
d88b4c02000fb85d,2024/08/30 07:07:50-0700,61.5℉,21.6
d88b4c02000fb85d,2024/08/30 07:08:50-0700,60.6℉,22.5
d88b4c02000fb85d,2024/08/30 07:10:00-0700,59.7℉,24.2
d88b4c02000fb85d,2024/08/30 07:11:20-0700,58.8℉,26.8
d88b4c02000fb85d,2024/08/30 07:13:00-0700,57.9℉,29.1
d88b4c02000fb85d,2024/08/30 07:14:40-0700,57.0℉,25.5
d88b4c02000fb85d,2024/08/30 07:16:00-0700,56.1℉,23.6
d88b4c02000fb85d,2024/08/30 07:17:10-0700,55.2℉,22.4
d88b4c02000fb85d,2024/08/30 07:18:20-0700,54.3℉,22.5
d88b4c02000fb85d,2024/08/30 07:19:40-0700,53.4℉,24.1
d88b4c02000fb85d,2024/08/30 07:21:10-0700,52.5℉,26.6
d88b4c02000fb85d,2024/08/30 07:23:50-0700,51.6℉,28.2
d88b4c02000fb85d,2024/08/30 07:25:40-0700,50.7℉,25.0
d88b4c02000fb85d,2024/08/30 07:27:20-0700,49.8℉,23.3
d88b4c02000fb85d,2024/08/30 07:28:00-0700,49.3℉,23.2
d88b4c02000fb85d,2024/08/30 07:29:40-0700,48.4℉,24.7
d88b4c02000fb85d,2024/08/30 07:31:40-0700,47.5℉,28.1
d88b4c02000fb85d,2024/08/30 07:35:10-0700,46.6℉,27.0
d88b4c02000fb85d,2024/08/30 07:37:10-0700,45.7℉,24.5
d88b4c02000fb85d,2024/08/30 07:38:50-0700,44.6℉,24.5
d88b4c02000fb85d,2024/08/30 07:41:50-0700,43.5℉,28.8
d88b4c02000fb85d,2024/08/30 07:46:10-0700,42.6℉,26.7
d88b4c02000fb85d,2024/08/30 07:48:10-0700,41.7℉,25.1
d88b4c02000fb85d,2024/08/30 07:50:30-0700,40.8℉,27.1
d88b4c02000fb85d,2024/08/30 07:55:10-0700,39.9℉,29.1
d88b4c02000fb85d,2024/08/30 07:58:00-0700,39.0℉,25.9
d88b4c02000fb85d,2024/08/30 08:00:20-0700,38.1℉,27.4
d88b4c02000fb85d,2024/08/30 08:06:40-0700,37.2℉,27.9
d88b4c02000fb85d,2024/08/30 08:09:00-0700,36.3℉,26.7
d88b4c02000fb85d,2024/08/30 08:12:40-0700,36.0℉,31.7
d88b4c02000fb85d,2024/08/30 08:16:30-0700,35.6℉,36.8
d88b4c02000fb85d,2024/08/30 08:21:00-0700,34.7℉,33.7
d88b4c02000fb85d,2024/08/30 08:27:40-0700,33.8℉,29.7
d88b4c02000fb85d,2024/08/30 08:30:20-0700,32.9℉,30.9
d88b4c02000fb85d,2024/08/30 08:33:20-0700,32.9℉,36.0
d88b4c02000fb85d,2024/08/30 08:36:40-0700,32.4℉,30.9
d88b4c02000fb85d,2024/08/30 08:43:20-0700,31.3℉,35.9
d88b4c02000fb85d,2024/08/30 08:47:00-0700,30.7℉,30.8
d88b4c02000fb85d,2024/08/30 08:53:20-0700,30.0℉,35.9
d88b4c02000fb85d,2024/08/30 08:57:20-0700,29.5℉,30.8
d88b4c02000fb85d,2024/08/30 09:03:10-0700,28.8℉,35.8
d88b4c02000fb85d,2024/08/30 09:07:40-0700,28.4℉,30.8
d88b4c02000fb85d,2024/08/30 09:13:10-0700,27.5℉,35.9
d88b4c02000fb85d,2024/08/30 09:18:00-0700,27.3℉,30.9
d88b4c02000fb85d,2024/08/30 09:23:10-0700,26.6℉,36.0
d88b4c02000fb85d,2024/08/30 09:28:20-0700,26.1℉,31.0
d88b4c02000fb85d,2024/08/30 09:33:10-0700,25.5℉,36.0
d88b4c02000fb85d,2024/08/30 10:00:40-0700,22.8℉,32.5
d88b4c02000fb85d,2024/08/30 10:04:10-0700,22.8℉,37.5
d88b4c02000fb85d,2024/08/30 10:08:00-0700,22.6℉,32.5
d88b4c02000fb85d,2024/08/30 10:14:00-0700,22.1℉,37.5
d88b4c02000fb85d,2024/08/30 10:18:20-0700,21.7℉,32.5
d88b4c02000fb85d,2024/08/30 10:24:00-0700,21.2℉,37.6
d88b4c02000fb85d,2024/08/30 10:28:30-0700,21.0℉,32.6
d88b4c02000fb85d,2024/08/30 10:34:00-0700,20.7℉,37.7
d88b4c02000fb85d,2024/08/30 10:38:40-0700,20.5℉,32.7
d88b4c02000fb85d,2024/08/30 10:44:00-0700,20.1℉,37.8
